962	'Adventure', 'Comedy', 'Drama'
37247	'Comedy', 'Drama'
596	'Drama'
914	'Comedy'
5925	'Adventure', 'Drama', 'History', 'Thriller', 'War'
497	'Fantasy', 'Drama', 'Crime'
49051	'Adventure', 'Fantasy', 'Action'
990	'Drama'
10098	'Comedy', 'Drama'
247	'Crime'
45269	'Drama', 'History'
8587	'Family', 'Animation', 'Drama'
121	'Adventure', 'Fantasy', 'Action'
963	'Mystery', 'Crime', 'Thriller'
11697	'Western'
982	'Thriller', 'Drama'
603	'Action', 'Science Fiction'
3112	'Thriller', 'Crime', 'Drama', 'Horror'
423	'Drama', 'War'
1124	'Drama', 'Mystery', 'Thriller'
2493	'Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance'
278	'Drama', 'Crime'
694	'Horror', 'Thriller'
274	'Crime', 'Drama', 'Thriller', 'Horror'
745	'Mystery', 'Thriller', 'Drama'
9277	'Comedy', 'Crime', 'Drama'
218	'Action', 'Thriller', 'Science Fiction'
1091	'Horror', 'Mystery', 'Science Fiction'
1092	'Thriller', 'Mystery'
3090	'Adventure', 'Drama', 'Western'
37165	'Comedy', 'Drama'
117	'Crime', 'Drama', 'History', 'Thriller'
629	'Drama', 'Crime', 'Thriller'
576	'Adventure', 'Western'
630	'Adventure', 'Family', 'Fantasy'
7345	'Drama'
595	'Crime', 'Drama'
8392	'Fantasy', 'Animation', 'Family'
1480	'Drama', 'Thriller', 'Crime'
862	'Animation', 'Comedy', 'Family'
627	'Drama', 'Crime'
110	'Drama', 'Mystery', 'Romance'
